scheme,source_family,metric,family_mean_kendalls_w,setting_count
primary_18_settings,synth(5%),AUPRC,0.8569444444444444,1
primary_18_settings,synth(5%),AUROC,0.5472222222222223,1
primary_18_settings,synth(5%),Brier,0.8402777777777778,1
primary_18_settings,synth(5%),F1@best,0.7708333333333334,1
primary_18_settings,synth(5%),MCC@0.5,0.8483483483483484,1
primary_18_settings,synth(5%),MCC@best,0.7801724137931034,1
primary_18_settings,synth(5%),SoftMCC,0.8597222222222223,1
primary_18_settings,thyroid_sick(6.1%),AUPRC,0.7694444444444445,1
primary_18_settings,thyroid_sick(6.1%),AUROC,0.7680555555555556,1
primary_18_settings,thyroid_sick(6.1%),Brier,0.7805555555555556,1
primary_18_settings,thyroid_sick(6.1%),F1@best,0.7785913528591353,1
primary_18_settings,thyroid_sick(6.1%),MCC@0.5,0.7702231520223152,1
primary_18_settings,thyroid_sick(6.1%),MCC@best,0.7744072524407253,1
primary_18_settings,thyroid_sick(6.1%),SoftMCC,0.8444444444444444,1
primary_18_settings,us_crime(7.5%),AUPRC,0.2138888888888888,1
primary_18_settings,us_crime(7.5%),AUROC,0.3236111111111111,1
primary_18_settings,us_crime(7.5%),Brier,0.2263888888888889,1
primary_18_settings,us_crime(7.5%),F1@best,0.1167369901547116,1
primary_18_settings,us_crime(7.5%),MCC@0.5,0.1554621848739495,1
primary_18_settings,us_crime(7.5%),MCC@best,0.1986111111111111,1
primary_18_settings,us_crime(7.5%),SoftMCC,0.7125,1
primary_18_settings,wine_quality(3.7%),AUPRC,0.2430555555555555,1
primary_18_settings,wine_quality(3.7%),AUROC,0.75,1
primary_18_settings,wine_quality(3.7%),Brier,0.2819444444444444,1
primary_18_settings,wine_quality(3.7%),F1@best,0.072829131652661,1
primary_18_settings,wine_quality(3.7%),MCC@0.5,0.0894927536231884,1
primary_18_settings,wine_quality(3.7%),MCC@best,0.1105299860529986,1
primary_18_settings,wine_quality(3.7%),SoftMCC,0.0319444444444444,1
primary_18_settings,yeast_ml8(7.4%),AUPRC,0.0402777777777777,1
primary_18_settings,yeast_ml8(7.4%),AUROC,0.2944444444444444,1
primary_18_settings,yeast_ml8(7.4%),Brier,0.0375,1
primary_18_settings,yeast_ml8(7.4%),F1@best,0.1611111111111111,1
primary_18_settings,yeast_ml8(7.4%),MCC@0.5,0.047008547008547,1
primary_18_settings,yeast_ml8(7.4%),MCC@best,0.2833333333333333,1
primary_18_settings,yeast_ml8(7.4%),SoftMCC,0.2944444444444444,1
documented_overlap_15_families,abalone,AUPRC,0.7694444444444445,1
documented_overlap_15_families,abalone,AUROC,0.8625,1
documented_overlap_15_families,abalone,Brier,0.6680555555555555,1
documented_overlap_15_families,abalone,F1@best,0.6791666666666667,1
documented_overlap_15_families,abalone,MCC@0.5,0.0608974358974358,1
documented_overlap_15_families,abalone,MCC@best,0.6791666666666667,1
documented_overlap_15_families,abalone,SoftMCC,0.7458333333333333,1
documented_overlap_15_families,breast_cancer,AUPRC,0.2815126050420168,1
documented_overlap_15_families,breast_cancer,AUROC,0.256276150627615,1
documented_overlap_15_families,breast_cancer,Brier,0.5208333333333334,1
documented_overlap_15_families,breast_cancer,F1@best,0.6235632183908046,1
documented_overlap_15_families,breast_cancer,MCC@0.5,0.329004329004329,1
documented_overlap_15_families,breast_cancer,MCC@best,0.5377824858757062,1
documented_overlap_15_families,breast_cancer,SoftMCC,0.5680555555555555,1
documented_overlap_15_families,car_evaluation_source,AUPRC,0.3430555555555555,2
documented_overlap_15_families,car_evaluation_source,AUROC,0.3284373547187355,2
documented_overlap_15_families,car_evaluation_source,Brier,0.5340277777777778,2
documented_overlap_15_families,car_evaluation_source,F1@best,0.3891607054483286,2
documented_overlap_15_families,car_evaluation_source,MCC@0.5,0.49002932797050447,2
documented_overlap_15_families,car_evaluation_source,MCC@best,0.3745163539838935,2
documented_overlap_15_families,car_evaluation_source,SoftMCC,0.5569444444444445,2
documented_overlap_15_families,coil_2000,AUPRC,0.3236111111111111,1
documented_overlap_15_families,coil_2000,AUROC,0.5402777777777777,1
documented_overlap_15_families,coil_2000,Brier,0.4625,1
documented_overlap_15_families,coil_2000,F1@best,0.4833333333333333,1
documented_overlap_15_families,coil_2000,MCC@0.5,0.2570806100217865,1
documented_overlap_15_families,coil_2000,MCC@best,0.5125,1
documented_overlap_15_families,coil_2000,SoftMCC,0.7319444444444444,1
documented_overlap_15_families,creditcard_source,AUPRC,0.4625,2
documented_overlap_15_families,creditcard_source,AUROC,0.40347222222222223,2
documented_overlap_15_families,creditcard_source,Brier,0.7194444444444444,2
documented_overlap_15_families,creditcard_source,F1@best,0.4251642964878259,2
documented_overlap_15_families,creditcard_source,MCC@0.5,0.7235199220771316,2
documented_overlap_15_families,creditcard_source,MCC@best,0.43671891833656534,2
documented_overlap_15_families,creditcard_source,SoftMCC,0.7576388888888889,2
documented_overlap_15_families,iotid20,AUPRC,0.7722222222222223,1
documented_overlap_15_families,iotid20,AUROC,0.7736111111111111,1
documented_overlap_15_families,iotid20,Brier,0.7597222222222222,1
documented_overlap_15_families,iotid20,F1@best,0.8040254237288136,1
documented_overlap_15_families,iotid20,MCC@0.5,0.7722222222222223,1
documented_overlap_15_families,iotid20,MCC@best,0.820268361581921,1
documented_overlap_15_families,iotid20,SoftMCC,0.7680555555555556,1
documented_overlap_15_families,mammography,AUPRC,0.5222222222222223,1
documented_overlap_15_families,mammography,AUROC,0.5027777777777778,1
documented_overlap_15_families,mammography,Brier,0.5388888888888889,1
documented_overlap_15_families,mammography,F1@best,0.551994301994302,1
documented_overlap_15_families,mammography,MCC@0.5,0.3857350800582241,1
documented_overlap_15_families,mammography,MCC@best,0.536723163841808,1
documented_overlap_15_families,mammography,SoftMCC,0.5944444444444444,1
documented_overlap_15_families,ozone_level,AUPRC,0.3611111111111111,1
documented_overlap_15_families,ozone_level,AUROC,0.4819444444444444,1
documented_overlap_15_families,ozone_level,Brier,0.5236111111111111,1
documented_overlap_15_families,ozone_level,F1@best,0.149859943977591,1
documented_overlap_15_families,ozone_level,MCC@0.5,0.3095959595959596,1
documented_overlap_15_families,ozone_level,MCC@best,0.2430264993026499,1
documented_overlap_15_families,ozone_level,SoftMCC,0.8152777777777778,1
documented_overlap_15_families,protein_homo,AUPRC,0.1736111111111111,1
documented_overlap_15_families,protein_homo,AUROC,0.4777777777777778,1
documented_overlap_15_families,protein_homo,Brier,0.2680555555555555,1
documented_overlap_15_families,protein_homo,F1@best,0.0446554149085794,1
documented_overlap_15_families,protein_homo,MCC@0.5,0.1109929078014184,1
documented_overlap_15_families,protein_homo,MCC@best,0.0446554149085794,1
documented_overlap_15_families,protein_homo,SoftMCC,0.7930555555555555,1
documented_overlap_15_families,sick_euthyroid,AUPRC,0.7847222222222222,1
documented_overlap_15_families,sick_euthyroid,AUROC,0.7805555555555556,1
documented_overlap_15_families,sick_euthyroid,Brier,0.7888888888888889,1
documented_overlap_15_families,sick_euthyroid,F1@best,0.7911436541143654,1
documented_overlap_15_families,sick_euthyroid,MCC@0.5,0.7534867503486751,1
documented_overlap_15_families,sick_euthyroid,MCC@best,0.7911436541143654,1
documented_overlap_15_families,sick_euthyroid,SoftMCC,0.8305555555555556,1
documented_overlap_15_families,synthetic_generator,AUPRC,0.6194444444444445,2
documented_overlap_15_families,synthetic_generator,AUROC,0.5326388888888889,2
documented_overlap_15_families,synthetic_generator,Brier,0.49930555555555556,2
documented_overlap_15_families,synthetic_generator,F1@best,0.5409131205673758,2
documented_overlap_15_families,synthetic_generator,MCC@0.5,0.4588963963963964,2
documented_overlap_15_families,synthetic_generator,MCC@best,0.5917388088656094,2
documented_overlap_15_families,synthetic_generator,SoftMCC,0.7493055555555556,2
documented_overlap_15_families,thyroid_sick,AUPRC,0.7694444444444445,1
documented_overlap_15_families,thyroid_sick,AUROC,0.7680555555555556,1
documented_overlap_15_families,thyroid_sick,Brier,0.7805555555555556,1
documented_overlap_15_families,thyroid_sick,F1@best,0.7785913528591353,1
documented_overlap_15_families,thyroid_sick,MCC@0.5,0.7702231520223152,1
documented_overlap_15_families,thyroid_sick,MCC@best,0.7744072524407253,1
documented_overlap_15_families,thyroid_sick,SoftMCC,0.8444444444444444,1
documented_overlap_15_families,us_crime,AUPRC,0.2138888888888888,1
documented_overlap_15_families,us_crime,AUROC,0.3236111111111111,1
documented_overlap_15_families,us_crime,Brier,0.2263888888888889,1
documented_overlap_15_families,us_crime,F1@best,0.1167369901547116,1
documented_overlap_15_families,us_crime,MCC@0.5,0.1554621848739495,1
documented_overlap_15_families,us_crime,MCC@best,0.1986111111111111,1
documented_overlap_15_families,us_crime,SoftMCC,0.7125,1
documented_overlap_15_families,wine_quality,AUPRC,0.2430555555555555,1
documented_overlap_15_families,wine_quality,AUROC,0.75,1
documented_overlap_15_families,wine_quality,Brier,0.2819444444444444,1
documented_overlap_15_families,wine_quality,F1@best,0.072829131652661,1
documented_overlap_15_families,wine_quality,MCC@0.5,0.0894927536231884,1
